cities,lat,lng,temp,humidity,cloudiness,wind
urbino,43.7298,12.6356,6.82,81,0,1.54
vila,42.0304,-8.1588,12.78,95,100,0.89
olafsvik,64.8945,-23.7142,6.2,96,100,5.41
rimouski,48.4488,-68.524,4,65,100,2.57
qui nhon,13.7667,109.2333,30.42,65,31,5.02
chalus,36.655,51.4204,16,82,75,0.86
prosec,49.8059,16.1162,-0.87,80,22,2.24
sitka,57.0531,-135.33,14,28,20,2.06
moose factory,51.2585,-80.6094,-2,86,90,6.69
kotli loharan,32.5883,74.4932,23,49,0,1.58
rathdrum,47.8137,-116.892,8.41,53,1,1.54
klaksvik,62.2266,-6.589,6,100,90,2.06
tabou,4.423,-7.3528,26.57,85,97,2.98
grong,64.4654,12.3149,-0.62,90,100,2.11
vilyuysk,63.7553,121.6247,-0.43,93,96,2.86
samarai,-10.6167,150.6667,29.13,73,51,4.85
falmouth,50.1544,-5.0711,8.67,87,95,9.92
dayong,25.0209,118.2898,28,54,0,4
nipawin,53.3668,-104.0009,-0.5,43,90,1.54
leninogorsk,54.6026,52.4609,6.46,92,100,4.84
kloulklubed,7.0419,134.2556,31,70,75,5.66
valleyview,55.0667,-117.2859,-1,43,27,2.06
curup,-3.4667,102.5333,28.26,53,95,1.91
chute-aux-outardes,49.1168,-68.399,3,70,90,4.12
havre-saint-pierre,50.2334,-63.5986,-2,100,1,2.93
klerksdorp,-26.8521,26.6667,11.9,41,17,2.33
vilkaviskis,54.6517,23.0322,-0.05,82,81,4.44
broome,42.2506,-75.833,3.88,46,1,2.57
cap malheureux,-19.9842,57.6142,25.56,82,88,2.24
marsh harbour,26.5412,-77.0636,23.06,70,64,7.05
ati,13.2154,18.3353,29.61,15,24,3.3
namie,37.4833,141,16.67,58,100,0.45
