,cities,lat,lng,temp,humidity,cloudiness,wind
518,tilichiki,60.4667,166.1,-1.35,89,40,1.06
519,shu,43.5983,73.7614,6.67,58,69,0.89
520,sisimiut,66.9395,-53.6735,0.01,63,100,2.76
522,karakol,42.4907,78.3936,6.11,38,30,1.53
523,funadhoo,6.15,73.2667,28.81,72,80,3.35
524,kulpahar,25.3167,79.65,35.24,14,38,5.61
525,xining,36.6167,101.7667,6.94,87,100,2.28
526,dengzhou,37.8086,120.7508,10.35,94,96,6.66
527,vilyuysk,63.7553,121.6247,-0.43,93,96,2.86
528,pavia,45.1845,9.1615,10.81,81,1,0.97
529,itanhaem,-24.1831,-46.7889,19.66,82,90,1.54
530,viedma,-40.8135,-62.9967,14.36,55,3,5.15
531,kalety,50.5627,18.8926,3.05,87,0,2.57
532,kjollefjord,70.9457,27.3465,-0.13,77,100,7.27
533,ostrovnoy,68.0531,39.5131,0.23,94,100,11.1
534,nouadhibou,20.931,-17.0347,17,94,0,7.2
535,sao jose da coroa grande,-8.8978,-35.1478,25.46,80,14,3.36
536,waterloo,43.4668,-80.5164,7.7,50,1,5.66
537,bad oldesloe,53.8117,10.3742,2.24,93,85,3.08
540,jutai,-5.1833,-68.9,22.47,95,96,0.76
541,pauini,-7.7136,-66.9764,22.35,98,100,0.97
542,lincoln,40.8,-96.667,9.13,53,1,3.09
543,gat,31.61,34.7642,17.74,100,34,0.89
544,amahai,-3.3333,128.9167,29.79,65,24,2.4
545,pemangkat,1.1667,108.9667,30.91,58,100,2.93
546,kyaikkami,16.08,97.5675,29.69,69,96,3.01
547,george town,5.4112,100.3354,28.46,83,40,1.03
548,pueblo nuevo,23.3833,-105.3833,9.61,47,83,1.99
549,lunenburg,44.3835,-64.3155,6.44,70,62,4.63
551,birao,10.2849,22.7882,25.98,63,100,3.37
552,kismayo,-0.3582,42.5454,27.45,77,57,3.76
553,hobyo,5.3505,48.5268,29.08,69,87,4.04
554,san antonio,29.4241,-98.4936,18.42,94,1,2.06
555,san lazaro,18.0387,-88.6622,27.22,80,42,2.24
556,moses lake,47.1301,-119.2781,14.71,29,1,3.09
557,torrelavega,43.3494,-4.0479,18,55,0,4.63
558,kaputa,-8.4689,29.6619,18.77,90,47,0.34
559,gisborne,-38.6533,178.0042,21.11,61,25,1.34
560,tambun,-6.2641,107.0712,30.49,58,20,1.54
561,uray,60.1247,64.7758,6.56,82,97,1.93
562,yamada,39.4667,141.95,16.13,55,97,4.57
563,ishinomaki,38.4167,141.3,15,47,0,5.66
564,nekhayevskiy,50.4106,41.7561,9.44,78,100,4.92
565,revelganj,25.7833,84.6667,33,15,14,2.97
567,bang bo,13.5743,100.8353,34.57,58,20,3.09
568,buckeye,33.3703,-112.5838,23.93,23,1,4.12
569,nizhnyaya omka,55.4338,74.9426,6.49,46,65,3.08
570,tonk,26.1667,75.7833,30.49,26,25,3.94
571,najran,17.4924,44.1277,20,26,0,2.06
572,ajdabiya,30.7554,20.2263,21.84,20,28,6.23
573,bethanien,-26.502,17.1583,18.99,29,4,2.86
574,pisco,-13.7,-76.2167,18.14,88,1,1.54
575,dalvik,65.9702,-18.5286,2,93,0,1.54
576,picos,-7.0769,-41.4669,23.05,84,53,1.43
577,cam ranh,11.9214,109.1591,32,62,20,2.57
579,camargo,27.6667,-105.1667,18.14,8,0,3.26
580,demyansk,57.643,32.466,1.01,87,62,2.25
581,south sioux city,42.4739,-96.4136,8.75,66,1,5.66
582,pallasovka,50.05,46.8833,10.94,76,83,2.3
583,bairiki,1.3292,172.9752,30,74,20,4.12
584,cabinda,-5.55,12.2,25.37,89,76,1.02
585,bandar,2.05,99.75,29.8,64,99,1.51
586,nalut,30.3333,10.85,13.83,69,23,6.11
588,ketchikan,55.3422,-131.6461,8,61,1,3.09
589,jurm,36.8648,70.8342,12.3,26,1,2.45
590,carbonear,47.7332,-53.2148,3.89,11,35,0.89
591,cabano,10.5869,122.7002,30.09,65,95,6.59
592,muzhi,65.3667,64.6667,4.14,87,15,2.22
593,rosario,-32.9468,-60.6393,17.78,100,90,3.6
594,atar,20.5169,-13.0499,23.93,17,0,2.91
595,maiduguri,11.8464,13.1603,28.49,14,93,3.58
596,koslan,63.4564,48.8989,8.39,70,97,3.69
597,mackay,-21.15,149.2,23,83,90,6.17
598,asyut,27.181,31.1837,16,67,0,5.14
599,raga,8.4596,25.678,24.1,59,85,3.18
600,vieques,18.425,-65.8329,24.06,78,20,2.06
601,tarata,-17.6167,-66.0167,14.9,55,40,1.54
602,shemonaikha,50.6328,81.9056,4.66,57,81,3.67
603,lithakia,37.7167,20.8333,14,88,75,3.09
604,carstairs,51.5668,-114.102,-1.23,59,100,1.03
605,makakilo city,21.3469,-158.0858,24.88,50,20,3.6
